store,price,friendly name,city,state,zip,address,Unnamed: 6
533,239.0,Hurst,Hurst,TX,76054,770 Grapevine Hwy,
532,239.0,Franklin,Franklin,TN,37067,3060 Mallory Ln,
531,239.0,Austell,Austell,GA,30106,1717 East West Connector,
530,239.0,Big Flats,Elmira,NY,14903,913 County RD., Route 64
528,239.0,Simpsonville,Simpsonville,SC,29680,3958 Grandview Dr,
529,239.0,Tupelo,Tupelo,MS,38804,3354 North Gloster St,
527,239.0,Lancaster,Lancaster,OH,43130,2240 Lowes Dr,
526,239.0,W. Asheville,Asheville,NC,28806,95 Smokey Park Highway,
525,239.0,S. FT. Worth,Fort Worth,TX,76132,4305 Bryant Irvin Rd,
524,239.0,Ulster,Kingston,NY,12401,901 Frank Sottile Blvd.,
523,239.0,Utica,Utica,NY,13502,710 Horatio St,
522,239.0,Harrisburg,Harrisburg,PA,17109,4000 Union Deposit Rd,
521,239.0,Topeka,Topeka,KS,66615,1621 Southwest Arvonia Pl,
520,239.0,S. Arlington,Arlington,TX,76015,1000 West Arbrook,
519,239.0,Longview,Longview,TX,75605,3313 North Fourth St,
518,239.0,Greenwood,Greenwood,SC,29649,513 Bypass 72 NW,
491,239.0,Albany,Albany,GA,31707,1200 North Westover Blvd,
433,239.0,N.E. Columbia,Columbia,SC,29223,7441 Two Notch Rd,
490,239.0,Lexington,Lexington,NC,27292,130 Lowe's Blvd,
488,239.0,Garner,Garner,NC,27529,1575 U.S. Highway 70 West,
458,239.0,Statesville,Statesville,NC,28625,140 N. Pointe Blvd,
457,239.0,Franklin Square,Gastonia,NC,28056,3250 East Franklin Blvd.,
455,239.0,Burlington,South Point,OH,45680,294 County Road, 120 South
454,239.0,Barboursville,Barboursville,WV,25504,700 Mall Rd,
453,239.0,Springfield,Springfield,OH,45504,1601 North Bechtle Ave,
451,239.0,Bowling Green,Bowling Green,KY,42104,150 American Ln,
452,239.0,Bowie,Bowie,MD,20716,16301 Heritage Blvd,
450,239.0,Monroe,Monroe,LA,71202,4750 Frontage Rd,
449,239.0,Asheboro,Asheboro,NC,27203,1120 East Dixie Dr,
448,239.0,Panama City,Panama City,FL,32405,300 East 23rd St,
460,239.0,Elizabethtown,Elizabethtown,KY,42701,100 Lowe's Dr,
447,239.0,Christiansburg,Christiansburg,VA,24073,350 Peppers Ferry Rd, NE
445,239.0,University Centre,Wilmington,NC,28403,354 South College Rd,
444,239.0,N. Raleigh,Raleigh,NC,27604,4601 Capital Blvd,
442,239.0,S. Indianapolis,Indianapolis,IN,46227,8850 South Madison Ave,
441,239.0,S. Montgomery,Montgomery,AL,36117,1950 Eastern Blvd,
440,239.0,Ocala,Ocala,FL,34474,3535 SW 36th Ave,
438,239.0,Pensacola,Pensacola,FL,32504,1201 Airport Blvd,
439,239.0,Chesapeake,Chesapeake,VA,23320,1308 Battlefield Blvd, North
437,239.0,Lynchburg,Lynchburg,VA,24502,8216 Timberlake Rd,
436,239.0,West Winston,Winston Salem,NC,27103,935 Hanes Mall Blvd,
435,239.0,Pikeville,Pikeville,KY,41501,183 Cassady Blvd,
446,239.0,Altoona,Altoona,PA,16602,1707 Mcmahon Rd,
459,239.0,N. High Point,High Point,NC,27265,2600 North Main St,
461,239.0,N. Baton Rouge,Baton Rouge,LA,70815,9460 Cortana Pl,
462,239.0,Fort Smith,Fort Smith,AR,72903,8001 Rogers Ave,
487,239.0,Chapel Hill,Chapel Hill,NC,27514,1801 Fordham Blvd,
485,239.0,FT. Oglethorpe,Ft. Oglethorpe,GA,30742,2215 Battlefield Pkwy,
486,239.0,W. Knoxville,Knoxville,TN,37923,210 N. Peters Rd,
484,239.0,Lafayette,Lafayette,LA,70503,3726 Ambassador Caffery,
483,239.0,Warner Robins,Warner Robins,GA,31093,2704 Watson Blvd,
482,239.0,Augusta,Augusta,GA,30907,224 Bobby Jones Exp,
481,239.0,Florence,Florence,AL,35630,130 Cox Creek Pkwy. South,
480,239.0,N. Winston,Winston Salem,NC,27105,5901 University Pky,
479,239.0,FT. Walton Beach,Fort Walton Beach,FL,32547,774 Beal Pkwy,
476,239.0,Fredericksburg,Fredericksburg,VA,22401,1361 Carl D. Silver Pkwy,
477,239.0,Wheelersburg,Wheelersburg,OH,45694,7915 Ohio River Rd,
474,239.0,E. Louisville,Louisville,KY,40222,501 So. Hurstbourne Pkwy,
473,239.0,Wood County,Vienna,WV,26105,1300 Grand Central Ave,
472,239.0,Chillicothe,Chillicothe,OH,45601,867 North Bridge St,
471,239.0,Hagerstown,Hagerstown,MD,21740,1500 Wesel Blvd,
470,239.0,Waynesville,Waynesville,NC,28786,100 Liner Cove Rd,
469,239.0,Easley,Easley,SC,29640,6068 Calhoun Memorial Hwy,
468,239.0,Allegany,Lavale,MD,21502,1211 National Highway,
467,239.0,Orange City,Orange City,FL,32763,901 Saxon Blvd,
466,239.0,Gulfport,Gulfport,MS,39501,2151 John Hill Blvd,
465,239.0,Paducah,Paducah,KY,42001,5176 Hinkleville Rd,
464,239.0,Winchester,Winchester,KY,40391,1221 By-Pass Rd,
463,239.0,Tyler,Tyler,TX,75703,5720 South Broadway,
489,239.0,Huntersville,Huntersville,NC,28078,16830 Statesville Rd,
2523,239.0,Franklin,Franklin,IN,46131,2219 North Morton St,
2520,239.0,Newberry,Newberry,SC,29108,2911 Main St,
2521,239.0,Brenham,Brenham,TX,77833,2750 Highway 36 South,
